code,num
C1072,812.6824999999999
C1128,1012.7866666666666
C1456,609.33125
C1840,506.41999999999996
C1332,1006.07125
C1563,1650.07
C1794,1157.6383333333335
C1640,535.5999999999999
C1377,366.59000000000003
C2072,289.97749999999996
C1472,486.8160000000001
C1006,219.27631578947373
C1083,442.09399999999994
C1311,366.40000000000003
C2676,223.58933333333334
C2318,476.03499999999997
C1603,511.1249999999999
C2523,334.7066666666667
C2177,132.1888888888889
C2411,820.9960000000001
C2033,175.86052631578946
C1604,528.7549999999999
C2535,546.4950000000001
C1040,485.77
C2417,394.1650000000001
C1812,107.96466666666666
C2253,147.0695
C1294,606.0199999999999
C1772,505.1933333333333
C2646,596.3849999999998
C1152,933.04
C2423,222.86500000000004
C1844,491.09666666666664
C1318,357.94666666666666
C1729,89.77681818181817
C1602,364.65833333333336
C1239,455.83249999999987
C1721,756.9683333333334
C1902,940.3187500000001
C1855,430.68999999999994
C2600,505.77
C1071,545.176
C2295,418.51200000000006
C1621,646.6585714285713
C1852,970.2044444444444
C2555,1228.176
C1297,420.46999999999997
C2323,588.8174999999999
C2215,376.56
C2112,342.0833333333334
C1830,884.5944444444444
C2602,319.50750000000005
C2608,1009.1850000000002
C1215,612.7983333333333
C2369,628.3499999999997
C1158,344.6699999999999
C1887,682.5775000000001
C1189,332.74499999999995
C1637,584.255
C1225,226.83999999999995
C2374,398.74500000000006
C2397,639.6966666666666
C1105,942.7909999999999
C1782,497.18
C1629,281.1166666666667
C1708,291.7644444444444
C2144,559.5128571428571
C1617,802.2125
C1149,631.8475000000001
C1323,582.1585714285715
C1064,799.1359999999999
C1019,317.335
C2269,685.2740000000001
C1416,909.7214285714284
C1250,910.8883333333334
C1741,473.37666666666655
C1016,729.9650000000001
C2675,939.2775
C2436,627.66
C2039,773.5983333333334
C1253,924.8183333333332
C2028,1032.3639999999998
C1166,355.095
C1135,324.72375000000005
C1216,327.65666666666675
C1593,270.5925000000001
C1826,313.75000000000006
C1827,466.6340000000001
C1564,276.1014285714286
C1495,917.7460000000001
C2653,903.6175
C1392,641.5833333333334
C2128,363.56000000000006
C1282,654.64
C1521,1213.7177777777777
C2076,987.4966666666668
C1060,699.8057142857143
C2473,1118.5627272727272
C2557,901.0857142857143
C1835,876.5728571428571
C2224,842.1300000000001
C2222,449.46000000000004
C2430,830.395
C2497,902.7275000000002
C1494,1212.0766666666668
C1457,673.5466666666669
C1525,935.3894117647059
C1712,680.0966666666667
C2267,932.3340000000001
C1623,307.39500000000004
C2131,667.5083333333332
C2691,1212.9133333333332
C1147,759.0985714285715
C1692,910.7119999999999
C1570,823.6175000000001
C1474,198.36249999999995
C1633,198.88666666666668
C2113,706.3774999999999
C2175,949.1799999999998
C2303,1374.4420000000002
C2547,616.9700000000001
C2292,806.5239999999998
C1496,817.11
C1289,360.204
C1849,763.074
C1003,310.85375
C2268,483.7981818181819
C2551,591.3666666666667
C2688,183.80833333333337
C1030,194.11
C1327,144.92333333333332
C2451,685.075
C1749,516.0688888888889
C1349,292.4257142857144
C2043,309.2642857142858
C1229,311.53249999999997
C2363,533.3749999999999
C1414,507.5599999999999
C2174,559.9960000000001
C2091,162.544
C2335,300.74
C1841,94.454
C2404,163.137
C1683,337.4
C1038,386.13999999999993
C2456,291.99250000000006
C1266,553.4240000000001
C2152,99.91500000000002
C1267,440.4818181818182
C2189,311.7625
